HCPCSCode,ShortDescriptor,StatusIndicator,PaymentRate,Changed?,Source
"84702","Chorionic gonadotropin test","Q4",,false,"2022-07"
"84703","Chorionic gonadotropin assay","Q4",,false,"2022-07"
"84704","Hcg free betachain test","Q4",,false,"2022-07"
"84830","Ovulation tests","Q4",,false,"2022-07"
"84999","Clinical chemistry test","Q4",,false,"2022-07"
"85002","Bleeding time test","Q4",,false,"2022-07"
"85004","Automated diff wbc count","Q4",,false,"2022-07"
"85007","Bl smear w/diff wbc count","Q4",,false,"2022-07"
"85008","Bl smear w/o diff wbc count","Q4",,false,"2022-07"
"85009","Manual diff wbc count b-coat","Q4",,false,"2022-07"
"85013","Spun microhematocrit","Q4",,false,"2022-07"
"85014","Hematocrit","Q4",,false,"2022-07"
"85018","Hemoglobin","Q4",,false,"2022-07"
"85025","Complete cbc w/auto diff wbc","Q4",,false,"2022-07"
"85027","Complete cbc automated","Q4",,false,"2022-07"
"85032","Manual cell count each","Q4",,false,"2022-07"
"85041","Automated rbc count","Q4",,false,"2022-07"
"85044","Manual reticulocyte count","Q4",,false,"2022-07"
"85045","Automated reticulocyte count","Q4",,false,"2022-07"
"85046","Reticyte/hgb concentrate","Q4",,false,"2022-07"
"85048","Automated leukocyte count","Q4",,false,"2022-07"
"85049","Automated platelet count","Q4",,false,"2022-07"
"85055","Reticulated platelet assay","Q4",,false,"2022-07"
"85060","Blood smear interpretation","B",,false,"2022-07"
"85097","Bone marrow interpretation","Q2",669.29,false,"2022-07"
"85130","Chromogenic substrate assay","Q4",,false,"2022-07"
"85170","Blood clot retraction","Q4",,false,"2022-07"
"85175","Blood clot lysis time","Q4",,false,"2022-07"
"85210","Clot factor ii prothrom spec","Q4",,false,"2022-07"
"85220","Blooc clot factor v test","Q4",,false,"2022-07"
"85230","Clot factor vii proconvertin","Q4",,false,"2022-07"
"85240","Clot factor viii ahg 1 stage","Q4",,false,"2022-07"
"85244","Clot factor viii reltd antgn","Q4",,false,"2022-07"
"85245","Clot factor viii vw ristoctn","Q4",,false,"2022-07"
"85246","Clot factor viii vw antigen","Q4",,false,"2022-07"
"85247","Clot factor viii multimetric","Q4",,false,"2022-07"
"85250","Clot factor ix ptc/chrstmas","Q4",,false,"2022-07"
"85260","Clot factor x stuart-power","Q4",,false,"2022-07"
"85270","Clot factor xi pta","Q4",,false,"2022-07"
"85280","Clot factor xii hageman","Q4",,false,"2022-07"
"85290","Clot factor xiii fibrin stab","Q4",,false,"2022-07"
"85291","Clot factor xiii fibrin scrn","Q4",,false,"2022-07"
"85292","Clot factor fletcher fact","Q4",,false,"2022-07"
"85293","Clot factor wght kininogen","Q4",,false,"2022-07"
"85300","Antithrombin iii activity","Q4",,false,"2022-07"
"85301","Antithrombin iii antigen","Q4",,false,"2022-07"
"85302","Clot inhibit prot c antigen","Q4",,false,"2022-07"
"85303","Clot inhibit prot c activity","Q4",,false,"2022-07"
"85305","Clot inhibit prot s total","Q4",,false,"2022-07"
"85306","Clot inhibit prot s free","Q4",,false,"2022-07"
"85307","Assay activated protein c","Q4",,false,"2022-07"
"85335","Factor inhibitor test","Q4",,false,"2022-07"
"85337","Thrombomodulin","Q4",,false,"2022-07"
"85345","Coagulation time lee & white","Q4",,false,"2022-07"
"85347","Coagulation time activated","Q4",,false,"2022-07"
"85348","Coagulation time otr method","Q4",,false,"2022-07"
"85360","Euglobulin lysis","Q4",,false,"2022-07"
"85362","Fibrin degradation products","Q4",,false,"2022-07"
"85366","Fibrinogen test","Q4",,false,"2022-07"
"85370","Fibrinogen test","Q4",,false,"2022-07"
"85378","Fibrin degrade semiquant","Q4",,false,"2022-07"
"85379","Fibrin degradation quant","Q4",,false,"2022-07"
"85380","Fibrin degradj d-dimer","Q4",,false,"2022-07"
"85384","Fibrinogen activity","Q4",,false,"2022-07"
"85385","Fibrinogen antigen","Q4",,false,"2022-07"
"85390","Fibrinolysins screen i&r","Q4",,false,"2022-07"
"85396","Clotting assay whole blood","N",,false,"2022-07"
"85397","Clotting funct activity","Q4",,false,"2022-07"
"85400","Fibrinolytic plasmin","Q4",,false,"2022-07"
"85410","Fibrinolytic antiplasmin","Q4",,false,"2022-07"
"85415","Fibrinolytic plasminogen","Q4",,false,"2022-07"
"85420","Fibrinolytic plasminogen","Q4",,false,"2022-07"
"85421","Fibrinolytic plasminogen","Q4",,false,"2022-07"
"85441","Heinz bodies direct","Q4",,false,"2022-07"
"85445","Heinz bodies induced","Q4",,false,"2022-07"
"85460","Hemoglobin fetal","Q4",,false,"2022-07"
"85461","Hemoglobin fetal","Q4",,false,"2022-07"
"85475","Hemolysin acid","Q4",,false,"2022-07"
"85520","Heparin assay","Q4",,false,"2022-07"
"85525","Heparin neutralization","Q4",,false,"2022-07"
"85530","Heparin-protamine tolerance","Q4",,false,"2022-07"
"85536","Iron stain peripheral blood","Q4",,false,"2022-07"
"85540","Wbc alkaline phosphatase","Q4",,false,"2022-07"
"85547","Rbc mechanical fragility","Q4",,false,"2022-07"
"85549","Muramidase","Q4",,false,"2022-07"
"85555","Rbc osmotic fragility","Q4",,false,"2022-07"
"85557","Rbc osmotic fragility","Q4",,false,"2022-07"
"85576","Blood platelet aggregation","Q4",,false,"2022-07"
"85597","Phospholipid pltlt neutraliz","Q4",,false,"2022-07"
"85598","Hexagnal phosph pltlt neutrl","Q4",,false,"2022-07"
"85610","Prothrombin time","Q4",,false,"2022-07"
"85611","Prothrombin test","Q4",,false,"2022-07"
"85612","Viper venom prothrombin time","Q4",,false,"2022-07"
"85613","Russell viper venom diluted","Q4",,false,"2022-07"
"85635","Reptilase test","Q4",,false,"2022-07"
"85651","Rbc sed rate nonautomated","Q4",,false,"2022-07"
"85652","Rbc sed rate automated","Q4",,false,"2022-07"
"85660","Rbc sickle cell test","Q4",,false,"2022-07"
"85670","Thrombin time plasma","Q4",,false,"2022-07"
"85675","Thrombin time titer","Q4",,false,"2022-07"
"85705","Thromboplastin inhibition","Q4",,false,"2022-07"
"85730","Thromboplastin time partial","Q4",,false,"2022-07"
"85732","Thromboplastin time partial","Q4",,false,"2022-07"
"85810","Blood viscosity examination","Q4",,false,"2022-07"
"85999","Hematology procedure","Q4",,false,"2022-07"
"86000","Agglutinins febrile antigen","Q4",,false,"2022-07"
"86001","Allergen specific igg","Q4",,false,"2022-07"
"86003","Allg spec ige crude xtrc ea","Q4",,false,"2022-07"
"86005","Allg spec ige multiallg scr","Q4",,false,"2022-07"
"86008","Allg spec ige recomb ea","Q4",,false,"2022-07"
"86015","Actin antibody each","Q4",,false,"2022-07"
"86021","Wbc antibody identification","Q4",,false,"2022-07"
"86022","Platelet antibodies","Q4",,false,"2022-07"
"86023","Immunoglobulin assay","Q4",,false,"2022-07"
"86036","Anca screen each antibody","Q4",,false,"2022-07"
"86037","Anca titer each antibody","Q4",,false,"2022-07"
"86038","Antinuclear antibodies","Q4",,false,"2022-07"
"86039","Antinuclear antibodies (ana)","Q4",,false,"2022-07"
"86051","Aquaporin-4 antb elisa","Q4",,false,"2022-07"
"86052","Aquaporin-4 antb cba each","Q4",,false,"2022-07"
"86053","Aqaprn-4 antb flo cytmtry ea","Q4",,false,"2022-07"
"86060","Antistreptolysin o titer","Q4",,false,"2022-07"
"86063","Antistreptolysin o screen","Q4",,false,"2022-07"
"86077","Phys blood bank serv xmatch","Q1",25.23,false,"2022-07"
"86078","Phys blood bank serv reactj","Q1",152.32,false,"2022-07"
"86079","Phys blood bank serv authrj","Q1",50.75,false,"2022-07"
"86140","C-reactive protein","Q4",,false,"2022-07"
"86141","C-reactive protein hs","Q4",,false,"2022-07"
"86146","Beta-2 glycoprotein antibody","Q4",,false,"2022-07"
"86147","Cardiolipin antibody ea ig","Q4",,false,"2022-07"
"86148","Anti-phospholipid antibody","Q4",,false,"2022-07"
"86152","Cell enumeration & id","Q4",,false,"2022-07"
"86153","Cell enumeration phys interp","B",,false,"2022-07"
"86155","Chemotaxis assay","Q4",,false,"2022-07"
"86156","Cold agglutinin screen","Q4",,false,"2022-07"
"86157","Cold agglutinin titer","Q4",,false,"2022-07"
"86160","Complement antigen","Q4",,false,"2022-07"
"86161","Complement/function activity","Q4",,false,"2022-07"
"86162","Complement total (ch50)","Q4",,false,"2022-07"
"86171","Complement fixation each","Q4",,false,"2022-07"
"86200","Ccp antibody","Q4",,false,"2022-07"
"86215","Deoxyribonuclease antibody","Q4",,false,"2022-07"
"86225","Dna antibody native","Q4",,false,"2022-07"
"86226","Dna antibody single strand","Q4",,false,"2022-07"
"86231","Ema each ig class","Q4",,false,"2022-07"
"86235","Nuclear antigen antibody","Q4",,false,"2022-07"
"86255","Fluorescent antibody screen","Q4",,false,"2022-07"
"86256","Fluorescent antibody titer","Q4",,false,"2022-07"
"86258","Dgp antibody each ig class","Q4",,false,"2022-07"
"86277","Growth hormone antibody","Q4",,false,"2022-07"
"86280","Hemagglutination inhibition","Q4",,false,"2022-07"
"86294","Immunoassay tumor qual","Q4",,false,"2022-07"
"86300","Immunoassay tumor ca 15-3","Q4",,false,"2022-07"
"86301","Immunoassay tumor ca 19-9","Q4",,false,"2022-07"
"86304","Immunoassay tumor ca 125","Q4",,false,"2022-07"
"86305","Human epididymis protein 4","Q4",,false,"2022-07"
"86308","Heterophile antibody screen","Q4",,false,"2022-07"
"86309","Heterophile antibody titer","Q4",,false,"2022-07"
"86310","Heterophile antibody absrbj","Q4",,false,"2022-07"
"86316","Immunoassay tumor other","Q4",,false,"2022-07"
"86317","Immunoassay infectious agent","Q4",,false,"2022-07"
"86318","Ia infectious agent antibody","Q4",,false,"2022-07"
"86320","Serum immunoelectrophoresis","Q4",,false,"2022-07"
"86325","Other immunoelectrophoresis","Q4",,false,"2022-07"
"86327","Immunoelectrophoresis assay","Q4",,false,"2022-07"
"86328","Ia nfct ab sarscov2 covid19","A",,false,"2022-07"
"86329","Immunodiffusion nes","Q4",,false,"2022-07"
"86331","Immunodiffusion ouchterlony","Q4",,false,"2022-07"
"86332","Immune complex assay","Q4",,false,"2022-07"
"86334","Immunofix e-phoresis serum","Q4",,false,"2022-07"
"86335","Immunfix e-phorsis/urine/csf","Q4",,false,"2022-07"
"86336","Inhibin a","Q4",,false,"2022-07"
"86337","Insulin antibodies","Q4",,false,"2022-07"
"86340","Intrinsic factor antibody","Q4",,false,"2022-07"
"86341","Islet cell antibody","Q4",,false,"2022-07"
"86343","Leukocyte histamine release","Q4",,false,"2022-07"
"86344","Leukocyte phagocytosis","Q4",,false,"2022-07"
"86352","Cell function assay w/stim","Q4",,false,"2022-07"
"86353","Lymphocyte transformation","Q4",,false,"2022-07"
"86355","B cells total count","Q4",,false,"2022-07"
"86356","Mononuclear cell antigen","Q4",,false,"2022-07"
"86357","Nk cells total count","Q4",,false,"2022-07"
"86359","T cells total count","Q4",,false,"2022-07"
"86360","T cell absolute count/ratio","Q4",,false,"2022-07"
"86361","T cell absolute count","Q4",,false,"2022-07"
"86362","Mog-igg1 antb cba each","Q4",,false,"2022-07"
"86363","Mog-igg1 antb flo cytmtry ea","Q4",,false,"2022-07"
"86364","Tiss trnsgltmnase ea ig clas","Q4",,false,"2022-07"
"86367","Stem cells total count","Q4",,false,"2022-07"
"86376","Microsomal antibody each","Q4",,false,"2022-07"
"86381","Mitochondrial antibody each","Q4",,false,"2022-07"
"86382","Neutralization test viral","Q4",,false,"2022-07"
"86384","Nitroblue tetrazolium dye","Q4",,false,"2022-07"
"86386","Nuclear matrix protein 22","Q4",,false,"2022-07"
"86403","Particle agglut antbdy scrn","Q4",,false,"2022-07"
"86406","Particle agglut antbdy titr","Q4",,false,"2022-07"
"86408","Neutrlzg antb sarscov2 scr","A",,false,"2022-07"
"86409","Neutrlzg antb sarscov2 titer","A",,false,"2022-07"
"86413","Sars-cov-2 antb quantitative","A",,false,"2022-07"
"86430","Rheumatoid factor test qual","Q4",,false,"2022-07"
"86431","Rheumatoid factor quant","Q4",,false,"2022-07"
"86480","Tb test cell immun measure","Q4",,false,"2022-07"
"86481","Tb ag response t-cell susp","Q4",,false,"2022-07"
"86485","Skin test candida","Q1",25.23,false,"2022-07"
"86486","Skin test nos antigen","Q1",25.23,false,"2022-07"
"86490","Coccidioidomycosis skin test","Q1",56.85,false,"2022-07"
"86510","Histoplasmosis skin test","Q1",56.85,false,"2022-07"
"86580","Tb intradermal test","Q1",25.23,false,"2022-07"
"86590","Streptokinase antibody","Q4",,false,"2022-07"
"86592","Syphilis test non-trep qual","A",,false,"2022-07"
"86593","Syphilis test non-trep quant","A",,false,"2022-07"
"86596","Voltage-gtd ca chnl antb ea","Q4",,false,"2022-07"
"86602","Antinomyces antibody","Q4",,false,"2022-07"
"86603","Adenovirus antibody","Q4",,false,"2022-07"
"86606","Aspergillus antibody","Q4",,false,"2022-07"
"86609","Bacterium antibody","Q4",,false,"2022-07"
"86611","Bartonella antibody","Q4",,false,"2022-07"
"86612","Blastomyces antibody","Q4",,false,"2022-07"
"86615","Bordetella antibody","Q4",,false,"2022-07"
"86617","Lyme disease antibody","Q4",,false,"2022-07"
"86618","Lyme disease antibody","Q4",,false,"2022-07"
"86619","Borrelia antibody","Q4",,false,"2022-07"
"86622","Brucella antibody","Q4",,false,"2022-07"
"86625","Campylobacter antibody","Q4",,false,"2022-07"
"86628","Candida antibody","Q4",,false,"2022-07"
"86631","Chlamydia antibody","A",,false,"2022-07"
"86632","Chlamydia igm antibody","A",,false,"2022-07"
"86635","Coccidioides antibody","Q4",,false,"2022-07"
"86638","Q fever antibody","Q4",,false,"2022-07"
"86641","Cryptococcus antibody","Q4",,false,"2022-07"
"86644","Cmv antibody","Q4",,false,"2022-07"
"86645","Cmv antibody igm","Q4",,false,"2022-07"
"86648","Diphtheria antibody","Q4",,false,"2022-07"
"86651","Encephalitis californ antbdy","Q4",,false,"2022-07"
"86652","Encephaltis east eqne anbdy","Q4",,false,"2022-07"
"86653","Encephaltis st louis antbody","Q4",,false,"2022-07"
"86654","Encephaltis west eqne antbdy","Q4",,false,"2022-07"
"86658","Enterovirus antibody","Q4",,false,"2022-07"
"86663","Epstein-barr antibody","Q4",,false,"2022-07"
"86664","Epstein-barr nuclear antigen","Q4",,false,"2022-07"
"86665","Epstein-barr capsid vca","Q4",,false,"2022-07"
"86666","Ehrlichia antibody","Q4",,false,"2022-07"
"86668","Francisella tularensis","Q4",,false,"2022-07"
"86671","Fungus nes antibody","Q4",,false,"2022-07"
"86674","Giardia lamblia antibody","Q4",,false,"2022-07"
"86677","Helicobacter pylori antibody","Q4",,false,"2022-07"
"86682","Helminth antibody","Q4",,false,"2022-07"
"86684","Hemophilus influenza antibdy","Q4",,false,"2022-07"
"86687","Htlv-i antibody","Q4",,false,"2022-07"
"86688","Htlv-ii antibody","Q4",,false,"2022-07"
"86689","Htlv/hiv confirmj antibody","Q4",,false,"2022-07"
"86692","Hepatitis delta agent antbdy","Q4",,false,"2022-07"
"86694","Herpes simplex nes antbdy","Q4",,false,"2022-07"
"86695","Herpes simplex type 1 test","Q4",,false,"2022-07"
"86696","Herpes simplex type 2 test","Q4",,false,"2022-07"
"86698","Histoplasma antibody","Q4",,false,"2022-07"
"86701","Hiv-1antibody","Q4",,false,"2022-07"
"86702","Hiv-2 antibody","Q4",,false,"2022-07"
"86703","Hiv-1/hiv-2 1 result antbdy","Q4",,false,"2022-07"
"86704","Hep b core antibody total","Q4",,false,"2022-07"
"86705","Hep b core antibody igm","Q4",,false,"2022-07"
"86706","Hep b surface antibody","Q4",,false,"2022-07"
"86707","Hepatitis be antibody","Q4",,false,"2022-07"
"86708","Hepatitis a antibody","Q4",,false,"2022-07"
"86709","Hepatitis a igm antibody","Q4",,false,"2022-07"
"86710","Influenza virus antibody","Q4",,false,"2022-07"
"86711","John cunningham antibody","Q4",,false,"2022-07"
"86713","Legionella antibody","Q4",,false,"2022-07"
"86717","Leishmania antibody","Q4",,false,"2022-07"
"86720","Leptospira antibody","Q4",,false,"2022-07"
"86723","Listeria monocytogenes","Q4",,false,"2022-07"
"86727","Lymph choriomeningitis ab","Q4",,false,"2022-07"
"86732","Mucormycosis antibody","Q4",,false,"2022-07"
"86735","Mumps antibody","Q4",,false,"2022-07"
"86738","Mycoplasma antibody","Q4",,false,"2022-07"
"86741","Neisseria meningitidis","Q4",,false,"2022-07"
"86744","Nocardia antibody","Q4",,false,"2022-07"
"86747","Parvovirus antibody","Q4",,false,"2022-07"
"86750","Malaria antibody","Q4",,false,"2022-07"
"86753","Protozoa antibody nos","Q4",,false,"2022-07"
"86756","Respiratory virus antibody","Q4",,false,"2022-07"
"86757","Rickettsia antibody","Q4",,false,"2022-07"
"86759","Rotavirus antibody","Q4",,false,"2022-07"
"86762","Rubella antibody","Q4",,false,"2022-07"
"86765","Rubeola antibody","Q4",,false,"2022-07"
"86768","Salmonella antibody","Q4",,false,"2022-07"
"86769","Sars-cov-2 covid-19 antibody","A",,false,"2022-07"
"86771","Shigella antibody","Q4",,false,"2022-07"
"86774","Tetanus antibody","Q4",,false,"2022-07"
"86777","Toxoplasma antibody","Q4",,false,"2022-07"
"86778","Toxoplasma antibody igm","Q4",,false,"2022-07"
"86780","Treponema pallidum","A",,false,"2022-07"
"86784","Trichinella antibody","Q4",,false,"2022-07"
"86787","Varicella-zoster antibody","Q4",,false,"2022-07"
"86788","West nile virus ab igm","Q4",,false,"2022-07"
"86789","West nile virus antibody","Q4",,false,"2022-07"
"86790","Virus antibody nos","Q4",,false,"2022-07"
"86793","Yersinia antibody","Q4",,false,"2022-07"
"86794","Zika virus igm antibody","Q4",,false,"2022-07"
"86800","Thyroglobulin antibody","Q4",,false,"2022-07"
"86803","Hepatitis c ab test","Q4",,false,"2022-07"
"86804","Hep c ab test confirm","Q4",,false,"2022-07"
"86805","Lymphocytotoxicity assay","Q4",,false,"2022-07"
"86806","Lymphocytotoxicity assay","Q4",,false,"2022-07"
"86807","Cytotoxic antibody screening","Q4",,false,"2022-07"
"86808","Cytotoxic antibody screening","Q4",,false,"2022-07"
"86812","Hla typing a b or c","Q4",,false,"2022-07"
"86813","Hla typing a b or c","Q4",,false,"2022-07"
"86816","Hla typing dr/dq","Q4",,false,"2022-07"
"86817","Hla typing dr/dq","Q4",,false,"2022-07"
"86821","Lymphocyte culture mixed","Q4",,false,"2022-07"
"86825","Hla x-math non-cytotoxic","Q4",,false,"2022-07"
"86826","Hla x-match noncytotoxc addl","Q4",,false,"2022-07"
"86828","Hla class i&ii antibody qual","Q4",,false,"2022-07"
"86829","Hla class i/ii antibody qual","Q4",,false,"2022-07"
"86830","Hla class i phenotype qual","Q4",,false,"2022-07"
"86831","Hla class ii phenotype qual","Q4",,false,"2022-07"
"86832","Hla class i high defin qual","Q4",,false,"2022-07"
"86833","Hla class ii high defin qual","Q4",,false,"2022-07"
"86834","Hla class i semiquant panel","Q4",,false,"2022-07"
"86835","Hla class ii semiquant panel","Q4",,false,"2022-07"
"86849","Immunology procedure","N",,false,"2022-07"
"86850","Rbc antibody screen","Q1",50.75,false,"2022-07"
"86860","Rbc antibody elution","Q1",152.32,false,"2022-07"
"86870","Rbc antibody identification","Q2",297.45,false,"2022-07"
"86880","Coombs test direct","Q1",56.85,false,"2022-07"
"86885","Coombs test indirect qual","Q1",152.32,false,"2022-07"
"86886","Coombs test indirect titer","Q1",152.32,false,"2022-07"
"86890","Autologous blood process","Q1",152.32,false,"2022-07"
"86891","Autologous blood op salvage","Q1",669.29,false,"2022-07"
"86900","Blood typing serologic abo","Q1",115.16,false,"2022-07"
"86901","Blood typing serologic rh(d)","Q1",34.57,false,"2022-07"
"86902","Blood type antigen donor ea","Q1",297.45,false,"2022-07"
"86904","Blood typing patient serum","Q1",34.57,false,"2022-07"
"86905","Blood typing rbc antigens","Q1",297.45,false,"2022-07"
"86906","Bld typing serologic rh phnt","Q1",34.57,false,"2022-07"
"86910","Blood typing paternity test","E1",,false,"2022-07"
"86911","Blood typing antigen system","E1",,false,"2022-07"
"86920","Compatibility test spin","Q1",152.32,false,"2022-07"
"86921","Compatibility test incubate","Q1",152.32,false,"2022-07"
"86922","Compatibility test antiglob","Q1",152.32,false,"2022-07"
"86923","Compatibility test electric","Q1",152.32,false,"2022-07"
"86927","Plasma fresh frozen","S",152.32,false,"2022-07"
"86930","Frozen blood prep","Q1",297.45,false,"2022-07"
"86931","Frozen blood thaw","Q1",297.45,false,"2022-07"
"86932","Frozen blood freeze/thaw","Q1",34.57,false,"2022-07"
"86940","Hemolysins/agglutinins auto","Q4",,false,"2022-07"
"86941","Hemolysins/agglutinins","Q4",,false,"2022-07"
"86945","Blood product/irradiation","Q1",34.57,false,"2022-07"
"86950","Leukacyte transfusion","Q1",152.32,false,"2022-07"
"86960","Vol reduction of blood/prod","Q1",152.32,false,"2022-07"
"86965","Pooling blood platelets","Q1",152.32,false,"2022-07"
"86970","Rbc pretx incubatj w/chemicl","Q1",34.57,false,"2022-07"
"86971","Rbc pretx incubatj w/enzymes","Q1",297.45,false,"2022-07"
"86972","Rbc pretx incubatj w/density","Q1",152.32,false,"2022-07"
"86975","Rbc serum pretx incubj drugs","Q1",277.18,false,"2022-07"
"86976","Rbc serum pretx id dilution","Q1",25.23,false,"2022-07"
"86977","Rbc serum pretx incubj/inhib","Q1",152.32,false,"2022-07"
"86978","Rbc pretreatment serum","Q1",34.57,false,"2022-07"
"86985","Split blood or products","Q1",152.32,false,"2022-07"
"86999","Transfusion procedure","Q1",25.23,false,"2022-07"
"87003","Small animal inoculation","Q4",,false,"2022-07"
"87015","Specimen infect agnt concntj","Q4",,false,"2022-07"
"87040","Blood culture for bacteria","Q4",,false,"2022-07"
"87045","Feces culture aerobic bact","Q4",,false,"2022-07"
"87046","Stool cultr aerobic bact ea","Q4",,false,"2022-07"
"87070","Culture othr specimn aerobic","Q4",,false,"2022-07"
"87071","Culture aerobic quant other","Q4",,false,"2022-07"
"87073","Culture bacteria anaerobic","Q4",,false,"2022-07"
"87075","Cultr bacteria except blood","Q4",,false,"2022-07"
"87076","Culture anaerobe ident each","Q4",,false,"2022-07"
"87077","Culture aerobic identify","Q4",,false,"2022-07"
"87081","Culture screen only","Q4",,false,"2022-07"
"87084","Culture of specimen by kit","Q4",,false,"2022-07"
"87086","Urine culture/colony count","Q4",,false,"2022-07"
"87088","Urine bacteria culture","Q4",,false,"2022-07"
"87101","Skin fungi culture","Q4",,false,"2022-07"
"87102","Fungus isolation culture","Q4",,false,"2022-07"
"87103","Blood fungus culture","Q4",,false,"2022-07"
"87106","Fungi identification yeast","Q4",,false,"2022-07"
"87107","Fungi identification mold","Q4",,false,"2022-07"
"87109","Mycoplasma","Q4",,false,"2022-07"
"87110","Chlamydia culture","Q4",,false,"2022-07"
"87116","Mycobacteria culture","Q4",,false,"2022-07"
"87118","Mycobacteric identification","Q4",,false,"2022-07"
"87140","Culture type immunofluoresc","Q4",,false,"2022-07"
"87143","Culture typing glc/hplc","Q4",,false,"2022-07"
"87147","Culture type immunologic","Q4",,false,"2022-07"
"87149","Dna/rna direct probe","Q4",,false,"2022-07"
"87150","Dna/rna amplified probe","Q4",,false,"2022-07"
"87152","Culture type pulse field gel","Q4",,false,"2022-07"
"87153","Dna/rna sequencing","Q4",,false,"2022-07"
"87154","Cul typ id bld pthgn 6+ trgt","Q4",,false,"2022-07"
"87158","Culture typing added method","Q4",,false,"2022-07"
"87164","Dark field examination","Q4",,false,"2022-07"
"87166","Dark field examination","Q4",,false,"2022-07"
"87168","Macroscopic exam arthropod","Q4",,false,"2022-07"
"87169","Macroscopic exam parasite","Q4",,false,"2022-07"
"87172","Pinworm exam","Q4",,false,"2022-07"
"87176","Tissue homogenization cultr","Q4",,false,"2022-07"
"87177","Ova and parasites smears","Q4",,false,"2022-07"
"87181","Microbe susceptible diffuse","Q4",,false,"2022-07"
"87184","Microbe susceptible disk","Q4",,false,"2022-07"
"87185","Microbe susceptible enzyme","Q4",,false,"2022-07"
"87186","Microbe susceptible mic","Q4",,false,"2022-07"
"87187","Microbe susceptible mlc","Q4",,false,"2022-07"
"87188","Microbe suscept macrobroth","Q4",,false,"2022-07"
"87190","Microbe suscept mycobacteri","Q4",,false,"2022-07"
"87197","Bactericidal level serum","Q4",,false,"2022-07"
"87205","Smear gram stain","Q4",,false,"2022-07"
"87206","Smear fluorescent/acid stai","Q4",,false,"2022-07"
"87207","Smear special stain","Q4",,false,"2022-07"
"87209","Smear complex stain","Q4",,false,"2022-07"
"87210","Smear wet mount saline/ink","Q4",,false,"2022-07"
"87220","Tissue exam for fungi","Q4",,false,"2022-07"
"87230","Assay toxin or antitoxin","Q4",,false,"2022-07"
"87250","Virus inoculate eggs/animal","Q4",,false,"2022-07"
"87252","Virus inoculation tissue","Q4",,false,"2022-07"
"87253","Virus inoculate tissue addl","Q4",,false,"2022-07"
"87254","Virus inoculation shell via","Q4",,false,"2022-07"
"87255","Genet virus isolate hsv","Q4",,false,"2022-07"
"87260","Adenovirus ag if","Q4",,false,"2022-07"
"87265","Pertussis ag if","Q4",,false,"2022-07"
"87267","Enterovirus antibody dfa","Q4",,false,"2022-07"
"87269","Giardia ag if","Q4",,false,"2022-07"
"87270","Chlamydia trachomatis ag if","Q4",,false,"2022-07"
"87271","Cytomegalovirus dfa","Q4",,false,"2022-07"
"87272","Cryptosporidium ag if","Q4",,false,"2022-07"
"87273","Herpes simplex 2 ag if","Q4",,false,"2022-07"
"87274","Herpes simplex 1 ag if","Q4",,false,"2022-07"
"87275","Influenza b ag if","Q4",,false,"2022-07"
"87276","Influenza a ag if","Q4",,false,"2022-07"
"87278","Legion pneumophilia ag if","Q4",,false,"2022-07"
"87279","Parainfluenza ag if","Q4",,false,"2022-07"
"87280","Respiratory syncytial ag if","Q4",,false,"2022-07"
"87281","Pneumocystis carinii ag if","Q4",,false,"2022-07"
"87283","Rubeola ag if","Q4",,false,"2022-07"
"87285","Treponema pallidum ag if","Q4",,false,"2022-07"
"87290","Varicella zoster ag if","Q4",,false,"2022-07"
"87299","Antibody detection nos if","Q4",,false,"2022-07"
"87300","Ag detection polyval if","Q4",,false,"2022-07"
"87301","Adenovirus ag ia","Q4",,false,"2022-07"
"87305","Aspergillus ag ia","Q4",,false,"2022-07"
"87320","Chlmyd trach ag ia","Q4",,false,"2022-07"
"87324","Clostridium ag ia","Q4",,false,"2022-07"
"87327","Cryptococcus neoform ag ia","Q4",,false,"2022-07"
"87328","Cryptosporidium ag ia","Q4",,false,"2022-07"
"87329","Giardia ag ia","Q4",,false,"2022-07"
"87332","Cytomegalovirus ag ia","Q4",,false,"2022-07"
"87335","E coli 0157 ag ia","Q4",,false,"2022-07"
"87336","Entamoeb hist dispr ag ia","Q4",,false,"2022-07"
"87337","Entamoeb hist group ag ia","Q4",,false,"2022-07"
"87338","Hpylori stool ag ia","Q4",,false,"2022-07"
"87339","H pylori ag ia","Q4",,false,"2022-07"
"87340","Hepatitis b surface ag ia","Q4",,false,"2022-07"
"87341","Hep b surface ag neutrlzj ia","Q4",,false,"2022-07"
"87350","Hepatitis be ag ia","Q4",,false,"2022-07"
"87380","Hepatitis delta agent ag ia","Q4",,false,"2022-07"
"87385","Histoplasma capsul ag ia","Q4",,false,"2022-07"
"87389","Hiv-1 ag w/hiv-1&-2 ab ag ia","Q4",,false,"2022-07"
"87390","Hiv-1 ag ia","Q4",,false,"2022-07"
"87391","Hiv-2 ag ia","Q4",,false,"2022-07"
"87400","Influenza a/b each ag ia","Q4",,false,"2022-07"
"87420","Resp syncytial virus ag ia","Q4",,false,"2022-07"
"87425","Rotavirus ag ia","Q4",,false,"2022-07"
"87426","Sarscov coronavirus ag ia","A",,false,"2022-07"
"87427","Shiga-like toxin ag ia","Q4",,false,"2022-07"
"87428","Sarscov & inf vir a&b ag ia","A",,false,"2022-07"
"87430","Strep a ag ia","Q4",,false,"2022-07"
